entry,at,order
"The player ""Owen @ JGirBATScU"" stand up with the stack of 53.37.",2023-07-06T04:45:11.027Z,168861871102700
"The player ""Owen @ JGirBATScU"" sit back with the stack of 53.37.",2023-07-06T04:45:04.269Z,168861870426900
"The player ""Owen @ JGirBATScU"" stand up with the stack of 53.37.",2023-07-06T04:44:52.098Z,168861869209801
"The player ""Dirty Diaper @ 8pl6FnZxfN"" stand up with the stack of 14.27.",2023-07-06T04:44:52.098Z,168861869209800
"-- ending hand #182 --",2023-07-06T04:44:46.075Z,168861868607502
"""Owen @ JGirBATScU"" collected 0.40 from pot with Two Pair, 9's & 7's (combination: 9♣, 9♥, 7♦, 7♠, 8♥)",2023-07-06T04:44:46.075Z,168861868607501
"""Owen @ JGirBATScU"" shows a 7♦, 7♠.",2023-07-06T04:44:46.075Z,168861868607500
"""Owen @ JGirBATScU"" checks",2023-07-06T04:44:45.243Z,168861868524300
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:44:43.695Z,168861868369500
"River: 9♣, 6♥, 4♦, 9♥ [8♥]",2023-07-06T04:44:42.668Z,168861868266800
"""Owen @ JGirBATScU"" checks",2023-07-06T04:44:41.795Z,168861868179500
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:44:39.957Z,168861867995700
"Turn: 9♣, 6♥, 4♦ [9♥]",2023-07-06T04:44:38.777Z,168861867877700
"""Owen @ JGirBATScU"" checks",2023-07-06T04:44:37.957Z,168861867795700
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:44:36.017Z,168861867601700
"Flop:  [9♣, 6♥, 4♦]",2023-07-06T04:44:33.882Z,168861867388200
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:44:33.077Z,168861867307700
"""Owen @ JGirBATScU"" calls 0.20",2023-07-06T04:44:32.155Z,168861867215500
"""Dirty Diaper @ 8pl6FnZxfN"" posts a big blind of 0.20",2023-07-06T04:44:17.839Z,168861865783906
"""Owen @ JGirBATScU"" posts a small blind of 0.10",2023-07-06T04:44:17.839Z,168861865783905
"Your hand is 7♦, 7♠",2023-07-06T04:44:17.839Z,168861865783904
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (14.47) | #10 ""Owen @ JGirBATScU"" (53.17)",2023-07-06T04:44:17.839Z,168861865783902
